config_id,k,beta,r,init_iter,max_iter,max_communities,fuzzy_modularity_qg,n_communities,n_iterations
125,10,2.0,1.5,5,100,,-1.7302177007145296e-17,1,19
126,10,2.0,2.0,5,100,,-1.7302177007145296e-17,1,19
127,10,2.0,2.5,5,100,,-1.7302177007145296e-17,1,18
82,8,0.5,2.0,5,100,,-1.7302177007145296e-17,1,18
108,9,1.5,3.0,5,100,,-1.7302177007145296e-17,1,25
107,9,1.5,2.5,5,100,,-1.7302177007145296e-17,1,24
106,9,1.5,2.0,5,100,,-1.7302177007145296e-17,1,24
89,8,1.5,1.5,5,100,,-1.7302177007145296e-17,1,23
90,8,1.5,2.0,5,100,,-1.7302177007145296e-17,1,23
91,8,1.5,2.5,5,100,,-1.7302177007145296e-17,1,23
92,8,1.5,3.0,5,100,,-1.7302177007145296e-17,1,23
86,8,1.0,2.0,5,100,,-1.7302177007145296e-17,1,22
85,8,1.0,1.5,5,100,,-1.7302177007145296e-17,1,22
84,8,0.5,3.0,5,100,,-1.7302177007145296e-17,1,16
83,8,0.5,2.5,5,100,,-1.7302177007145296e-17,1,17
97,9,0.5,1.5,5,100,,-1.7302177007145296e-17,1,18
98,9,0.5,2.0,5,100,,-1.7302177007145296e-17,1,17
99,9,0.5,2.5,5,100,,-1.7302177007145296e-17,1,16
100,9,0.5,3.0,5,100,,-1.7302177007145296e-17,1,16
101,9,1.0,1.5,5,100,,-1.7302177007145296e-17,1,23
102,9,1.0,2.0,5,100,,-1.7302177007145296e-17,1,23
103,9,1.0,2.5,5,100,,-1.7302177007145296e-17,1,22
104,9,1.0,3.0,5,100,,-1.7302177007145296e-17,1,22
105,9,1.5,1.5,5,100,,-1.7302177007145296e-17,1,24
128,10,2.0,3.0,5,100,,-1.7302177007145296e-17,1,18
