config_id,k,beta,r,init_iter,max_iter,max_communities,fuzzy_modularity_qg,n_communities,n_iterations
52,6,0.5,3.0,5,100,,0.7817095874351359,32,100
86,8,1.0,2.0,5,100,,0.781538759531188,33,100
113,10,0.5,1.5,5,100,,0.7813432962266074,28,100
120,10,1.0,3.0,5,100,,0.7812749775577915,30,100
119,10,1.0,2.5,5,100,,0.7812589600862125,30,100
118,10,1.0,2.0,5,100,,0.7812585919973039,30,100
117,10,1.0,1.5,5,100,,0.7805052646754577,30,100
96,8,2.0,3.0,5,100,,0.7798979704203544,32,100
109,9,2.0,1.5,5,100,,0.7792410731752598,31,100
90,8,1.5,2.0,5,100,,0.7792400429209171,33,100
89,8,1.5,1.5,5,100,,0.7790420106648656,33,100
91,8,1.5,2.5,5,100,,0.7790277952281478,33,100
92,8,1.5,3.0,5,100,,0.7790270299653475,33,100
95,8,2.0,2.5,5,100,,0.7787691479903476,32,100
87,8,1.0,2.5,5,100,,0.7778851511661958,32,100
114,10,0.5,2.0,5,100,,0.7769213886644366,29,100
69,7,1.0,1.5,5,100,,0.7768203570827277,34,100
72,7,1.0,3.0,5,100,,0.7751626352939069,34,100
125,10,2.0,1.5,5,100,,0.7748411373355204,31,100
101,9,1.0,1.5,5,100,,0.7746309973789077,30,100
71,7,1.0,2.5,5,100,,0.7745153382981604,34,100
104,9,1.0,3.0,5,100,,0.7731371722022895,30,100
103,9,1.0,2.5,5,100,,0.7722832696644634,30,100
50,6,0.5,2.0,5,100,,0.7719555138879662,33,100
51,6,0.5,2.5,5,100,,0.7719264548051269,33,100
68,7,0.5,3.0,5,100,,0.7701751484252545,33,100
85,8,1.0,1.5,5,100,,0.7687091486386515,33,100
88,8,1.0,3.0,5,100,,0.7665986552751494,33,100
84,8,0.5,3.0,5,100,,0.7639434728329199,31,100
65,7,0.5,1.5,5,100,,0.7626239128385334,34,100
67,7,0.5,2.5,5,100,,0.7604088429132762,34,100
66,7,0.5,2.0,5,100,,0.7593433168121783,34,100
81,8,0.5,1.5,5,100,,0.7588553998406444,32,100
83,8,0.5,2.5,5,100,,0.7577916732151586,32,100
82,8,0.5,2.0,5,100,,0.7568672309527538,32,100
