config_id,k,beta,r,init_iter,max_iter,max_communities,fuzzy_modularity_qg,n_communities,n_iterations
55,6,1.0,2.5,5,100,,0.45383766201928105,3,36
56,6,1.0,3.0,5,100,,0.4538376620192601,3,36
54,6,1.0,2.0,5,100,,0.45383766201569276,3,36
53,6,1.0,1.5,5,100,,0.45383766189809766,3,36
49,6,0.5,1.5,5,100,,0.4471758307616337,4,44
50,6,0.5,2.0,5,100,,0.44717583071701833,4,44
52,6,0.5,3.0,5,100,,0.44717583069984285,4,44
51,6,0.5,2.5,5,100,,0.44717583069750233,4,44
69,7,1.0,1.5,5,100,,0.42947871230620255,3,37
70,7,1.0,2.0,5,100,,0.429478712300981,3,38
72,7,1.0,3.0,5,100,,0.42947871229119,3,38
71,7,1.0,2.5,5,100,,0.4294787122868765,3,38
66,7,0.5,2.0,5,100,,0.40954497070451723,3,47
68,7,0.5,3.0,5,100,,0.40954497070037826,3,47
67,7,0.5,2.5,5,100,,0.40954497070030355,3,47
65,7,0.5,1.5,5,100,,0.40954497069529944,3,48
58,6,1.5,2.0,5,100,,0.405818255064357,3,44
59,6,1.5,2.5,5,100,,0.4058182550557005,3,44
57,6,1.5,1.5,5,100,,0.40581825504312297,3,46
60,6,1.5,3.0,5,100,,0.4058182550082168,3,45
88,8,1.0,3.0,5,100,,0.3628050836971884,2,33
85,8,1.0,1.5,5,100,,0.36280508361706226,2,35
108,9,1.5,3.0,5,100,,0.3628050836142957,2,32
105,9,1.5,1.5,5,100,,0.3628050835927382,2,36
107,9,1.5,2.5,5,100,,0.36280508355654495,2,34
87,8,1.0,2.5,5,100,,0.3628050835307196,2,32
86,8,1.0,2.0,5,100,,0.3628050835252715,2,33
106,9,1.5,2.0,5,100,,0.3628050835249063,2,34
91,8,1.5,2.5,5,100,,0.36258912447141106,2,32
73,7,1.5,1.5,5,100,,0.3625891244442855,2,32
77,7,2.0,1.5,5,100,,0.36258912444397956,2,32
95,8,2.0,2.5,5,100,,0.36258912441965313,2,32
76,7,1.5,3.0,5,100,,0.36258912439961327,2,33
61,6,2.0,1.5,5,100,,0.36258912439819624,2,36
